qid,question_text
000e0b7f33650a320964,Would you rather study maths with a low IQ or cook a steak out of rotten meat?
000e166d4b896614153c,Why does the maximum hearing frequency decrease over time?
000e8d4169c8dc7ab5ee,What's the best weekend plans in Chennai for outsiders who dont have friends in Chennai?
000e92b73a39bdd436ab,How many innocent civilians died in the American civil war?
000ed5e36bd55f3af7b4,What is the use of cobalt bit in drilling?
000ef78071824e781d67,How did GPS get his name?
000f3052c02626932b5b,Are browser fields allowed to transmit information dynamically before hitting the submit button?
001014ae8ebec25a597a,Where can I get opt in email marketing services?
0010236e0aa3ab39a282,How do perimenopause and menopause differ?
00105665c8ffd3c5852a,Can a student of B.E. 1st year apply for internships?
00106ef7c87fca3b77a8,What are the advantages and disadvantages of the ex post facto law?
00107bbf4e002f3f37f1,How can I use VHDL to generate angle for cordic?
0010c1039cb7df5cd87e,Which is the best 7 seater car under 9 lakhs?
00111b43611881aba80c,Narcissism: What is the false-self?
00112eb90473513583a6,"On a Daniel Fast, do you add spices, herbs also to your diet?"
00119f4b87fa5c1d2b00,Why do Indian girls look for only NRI boys for marriage?
0011d779d14fec67b736,How is understanding the shadow self important for spiritual growth?
0011db54aefbfb872a15,Is the grenadier guards motto on their coulers?
0012042d76e7e4cc99d0,Should I just start a drop shipping service and if it fails then so be it? Or should I keep thinking about other ways to start an online business?
00120ed6f1d06f0089a8,Does Bar Council of India recognise LLM Courses?
00122e944d0e5de80f7e,How can I successfully use my (future) psychology degree?
00128617c44fbc12064e,Shouldn’t we blame those who knew how bad Trump was and didn’t go to vote for today’s American situation?
0012e6259ba67d7106b6,What is the importance of debating atheism?
001308efc6a147630389,What's the average GPA required to enter the University of British Columbia?
001362c2a7cd66e7b49c,How can I tell bpd partner to do more around the house without them making up excuses why they can't?
001379f011dc4392805f,Can we plant small trees in ISS for getting some oxygen?
00137e4a3a55b620219c,What is fed into a computer in order to get the output?
001430505ed525e0e482,"Why does the media let Saudi Arabia get away with murder of 50,000 kids in Yemen?"
001441e83b68c02c30da,What is fapping?
001457749528fa6b5c95,Did you know that people in the Iranian cities are keen on bombing Tehran?
001466b3e2dc7b718a76,When is it a useful exercise to ask the same question in different form?
0014a461bd2a374f2eec,Is murder property theft?
0014ef00c1fbb7691745,"If 1=5 , 2=15 , 3=20 , 4=25 then what is 5 equal to?"
0014f5a87fe4c3a3275d,"Why are Quora Moderators so personal and personally self-conscious (more than any user would dare, or get away with) if they apparently try to be personally unapproachable? Isn't this ""impersonality"" just petty posing?"
00150ed6a979652a918c,What are the constraints on roc for various classes of signals?
001544bb88eee3643535,Will doing CCNA help me as I am an ECE engineer?
0015636c722fab9b2591,Dreaming someone special in the past telling that our love for each other still there?
0015686f8d0b450ae4fe,"If you are living in Hong Kong, do you prefer flatshare than a 120 net square feet studio?"
00159dddef56b6683ef1,What would be the most ridiculous (or funny) event in your nation's history?
0015acb411ae4a4725a9,What is the hardest lesson you've learnt in life and how did you learn it?
0015e0c0baba578826fd,Who are the anti BJP chief ministers in India?
001622e3f590517be570,What's the best way to start selling my art?
0016446a2eb6a47ed650,Why is it that a majority of Americans seem unable and unwilling to give Trump benefit of the doubt? Is it not possible he means well?
0016603ea6604fbab592,"Do Armenians consider themselves Europeans, western Asians/middle eastern or both?"
0016cc86c0022020d162,What is your perspective towards life?
0017148dde8e587c0f9c,Is it possible to get a PR in Canada after on;y doing masters study there?
001729ed777b04047bcd,Which is good method for seperating alcohol from water?
001756ba206ed08d7e46,Why did companies stop mining copper in the Upper Penibsula of Michigan?
00175846ae0cfa2fc7d4,What should I keep in mind when debating which career to choose?
001761d7d7e86c88153d,Which subject is more I important in BA?
001775d5cadc44c4960d,What are the job opportunities for fresh MBBS at Singapore?
0017f6c4cfcbd1a2f8d0,How can I avail my NMAT hall ticket?
0017fc7bcd6438b1a87a,"Why am I having so many interests? And yet, can't still achieve one perfectly."
001839674eda4bdfde45,How would a borderLess world effect economy?
001888438e1577a59c4e,What role should the youth play with regards to NGO's / CBO's in their communtities?
0018c2ab02e3cc6a5409,Did people living in the Thirteen Colonies lose their English citizenship upon U.S. independence?
0018d0ba9822bdb872b3,Is a decision tree better than logistic regression if the independent variables are categorical?
001963e2d73eb6bd5e0e,What time is it right in between two time zones?
0019cfaf94ce8bf61429,What is the difference etween Product development and Technology development?
0019ee01f59c502a2424,Does Vogue offer any advice about people with freckles wearing polka dots / stripes?
001a492c2df37ba885d0,Is Donnie Wahlberg a baritone?
001a4d0e10c2d821aebe,How should a president deal with something happening in his or her state without infringing on the authority of the mayor?
001a52478cd34a11aee6,What is a form of self defense that you can teach yourself from the internet?
001a73fa408d0a034a53,"How does Two-Bit Mathews interact with Ponyboy in the book ""The Outsiders""?"
001a82a1d222a979e7b3,Is there anyone who got job from monterjob.com and happy with work?
001b4c86fb213b1ef52d,How can an immigration lawyer help to obtain non immigrant visa after visa rejection?
001b7fbfb24263de94c5,How will be the CBSE checking this year seeing the continuous paper leaks?
001c01dbd308dcc14a42,What is the best documentary on Multiverse? Could you also share the link too?
001c132aa697402a00db,Is it okay to pluck pubic hair?
001c16ed3268be888fdf,Hey there Shilpi! Which place is best to visit in Assam?
001c1881a55ab08a7777,What level of knowledge in photography do we need for filmmaking?
001c5bed187ad22e57f0,How Bob Marley preached shivan?
001c62d3a936d321df59,I have got acceptance in UMass Amherst for sport management but it is quite expensive. Will it be worth it?
001cb1f0c10c8e413418,How do I keep my hair healthy and long without any capsule?
001cd5c68f53812ad3bd,What are humor story ideas?
001d1f28b0627b3b5186,"Who has more power in US government, (covert) Nazis or Jews?"
001d288808f4d5896def,What exactly is reality?
001e24641b50c8718af2,How should I begin CLAT preparation for the year 2019?
001e31e30a5762fa97fd,Are love and attention the same thing?
001e44323f44e9f4ae9c,What are the differences of master between American and England?
001e50b789e8db63b7bb,"My boy friend and I have very different backgrounds (economically, socially and culturally). Sometimes I feel I deserve better. What should I do?"
001e60bd948c4ea978ce,Which is the best sweet shop in Trichy?
001e641e0e5ce74ac06f,How does genetic variation benefit the population?
001e86406bdb3a338436,What challenges did Destiney Sue Moore face when becoming a clothing designer?
001e88c13aed01d80eed,Do functional languages like Haskell have multiple scopes?
001e96779fc69fe0089a,What makes a reaction spontaneous?
001eb3afcea0f5be8a30,Can a laptop take more than day to reset itself?
001ef73399bb9a908e8f,What is vitamin D composed of?
001f44e09a408b1ecaae,What is the most difficult Spanish dialect?
0020105a56cdce4487e4,"What is the ebook called ""The Gigantic Compendium of Science Fiction and Fantasy Stories"" say about out possible future on planet Earth?"
0020191b3d3699fa0ff9,How will you describe Neo-fascism?
0020311adaac3bb0b81a,Is it legal to own a tank in the Philippines?
0020423b2221e068544b,Is there a liberal correction for class 10 2018 students as it has got full portions?
0020514e8f8fcc95073d,Will I be considered as Muslim because of my skin colour in Europe?
00209fc5912075277ec2,Can I take Evion 400 daily? Is good nor bad. Any side effect.like weaght gain
0020abd47243c0b15ffa,What is your career and why do you love it or hate it?
0020b208a314848862db,Where are Pablo Picasso paintings now?
0020d4746792586a3f33,How many scores has pele made?
00210281cd27c51a60f0,"Has your faith in humanity ever been restored after it was torn down, how?"
00210a33f97d3498777b,Can anti depressants be taken during pregnancy?
00213d0ef563809a2e43,Was the Fritz-X glide bomb more powerful than the Harpoon missile?
00215443c17a286b44fb,How many men have come to the point in your life where I don't care what other's think that I wear panties?
0021c3d204c7b4ce9f18,What is Dylan Joseph Cash known for?
0021c72244d349987df2,"If I want to see Scotland and have no time constraints, which places should I visit and what should I not miss?"
0021dd9749ab6d01be68,Is it possible to make a movie with a cheap phone camera?
0021ef17b8d5a2cfa678,When near the end of your life what are some things that become priority’s?
002249cfbc29aef5211c,"Why doesn’t Trump acknowledge that NAFTA was more disastrous to Mexico than to the USA? Poverty, violence, and emigration skyrocket un Mexico in the last two decades, after signing into selling off cheap their natural and human resources."
002270e5d271df037f8a,"Why is it said that the Qing has ruled “China” from 1644 to 1912, even though the conquest hadn’t been completed until 1662?"
0022acd5d901cfb2229b,"If asked to defend the indefensible, who/what would you defend, and how?"
0022d264a1796a4f8b0e,To what extent is an ageing population a liability?
0022ec7b1356584230d4,How should I make webinar registration funnel?
002362bf5be84044d8bc,"How can I get migration certificate from AP to Karnataka, and what is the procedure?"
00236df338ccf881b866,Are MGTOW bitter at women?
0023992b9f0fcf863082,What is the difference between an agenda and the minutes?
0023a696b61811c8052a,What are some tips for learning online? (Efficient learning)
0023acd7b985a241d5b8,How abnormal is it for me to keep crying every night for 30-120 minutes?
0023fc33b3c16a7334f8,Where Can I get a credible TEFL certificate online and at low cost?
002405025328ab859d22,Will I get a job in Germany for a term of 3 years atleast after doing MS in electrical engineering as a fresher?
0024187915cc272fd79f,How can I create a 3D model (to be used in Autodesk Maya) from a 3D function (like z=x^2-y^2)?
0024656b7fa581541595,Does salvation exist without accepting a contingency?
002490924d24f867481e,Where can one repair joysticks in Pune?
0024d60d0d4eaa982ba0,How do I start to learn SAP? Where do I start off?
0025018af55d26e9a483,Do soldiers in the army feel honor in battle anymore?
00252bc32725ca81a493,Why was Obama allowed to obtain and remain in the office of the President when his name was never legally qualified to be on the ballot?
00253c75e46f43f5fc2b,What are the most exciting advances you’ve seen in the finance industry?
00257bf21a41a2df261f,"Is it bad if I don't take people seriously because they can dislike me for my views, opinion, status, material, etc instead of my character?"
0025c5a4aab1c6b85d9e,How did Albert Speer manage to leave Berlin for Hamburg on the 23rd of April 1945?
0025f502c6f29e560330,Which is best book for Adolf Hitler biography?
002601cb9a2a2e4d9233,What are the differences between math 101 and math 131?
0026208e9a0dcafe7efc,What are some of the most crisp and awesome answers on Quora?
00262cae7eb54e29dce7,How did Justice Anthony Kennedy have so much power?
00263938985088856ba2,Why is the guitar fretting on the last fret?
00265fe0608d617a4e5f,What is the difference between venous and capillary sugar levels?
00267d4c23debc4f18e3,Why do Asian people hate white and black people? (READ COMMENT)
00268132d3292565da7e,What are some examples of Body language in Christian iconography?
00269c5e28e65903190b,How do you handle a spouse who sees your career as competition with a coming baby?
0027476a78e5acaf013a,What are the rules for determining electrolytes?
00277400ab4bae3246b0,What are the important uses of lanthanum?
002809c647dc6a71c26c,Why is pufferfish dangerous as food?
00280ae0fb2dd59f3884,How do you prove that you are committed to get a job?
00281efb4b8f5fcdd161,How can you make a teenage purse be popular worldwide?
0028535ce194404af2fa,I want to know everything about music. Where do I start?
00287db03716e945d491,Who am I? What are we doing?
0028851483aeafc2d2c2,"Is it worth doing M.SC in hospitality administration from IHM Pusa, New Delhi? And what about IHM Lucknow regarding the same?"
0028c866dd44d98eb3fc,What is a recent innovation that does not get enough credit?
0028dbfb52497714e3ce,Should a child of incest be told the truth?
0028e1eb3dfbb1fd906a,What is the difference between a Romantic Hug and a Platonic Hug?
002924f97d831128c97b,What does 'Driving a transistor' mean?
002927c5458c34bd809b,Why can’t I see the featured posts under hashtags on Instagram?
002995629eed602522e9,What do you think everyone should know?
002996dc81ba05c88f36,What is the best view you have ever seen out of an airplane window?
002a14f62a30cedefa38,Can we use past simple tense for a fact that remains true today?
002a4d51ca58e345a0e8,Is there any customs duty for bringing PS4 pro from Dubai to India after GST?
002a76f15d1f5b711b4e,Who will win if China and India alone goes to war?
002a925a400adeea8244,How do tourists in Israel select a private tour guide?
002ae42c01ea0481a095,"This girl is about to fight me, what should I say/do without getting any teacher involved?"
002ae466bd45a2966b4a,How do you break in steel-toed work boots?
002b1f3affefacd9d3ad,Whats it like married to an androgynous lady?
002b9348a4907bb18f3e,What is the best Insecticide available in India for suicide?
002bae16fcc19fbacfaf,What are the best tips for a writer ever?
002bb0b6148eb8b444f7,What are some good B-Schools in Singapore?
002bcb5970c4c25f9b1f,What is the best Dell laptop below 35000?
002c28c9dbfc60e5a38e,Did early Europeans migrate from South and Central Asia?
002c3f8b814ab4152d25,"If smoking weed, is the lung will affect?"
002c93ba07ab88d1bd93,What is the order of the star wars books?
002cac1ac261e86fd770,Do intermittent jogging and walking burns fat?
002cae4e5b565270d052,How do I start web design?
002cf96dede4f6182757,Is the height would be a problem to get pretty girls?
002d1c5859e1d2db5f33,How do you know what you don't know?
002d20b83f3e244614eb,"Where do I download Russell peters standup ""almost famous""?"
002d456f9642fa7c3a94,What country has the quickest and easiest adoption process?
002dc682fd78d2e20432,Which is the best tab to buy now?
002decd57788b3c1c15c,What is the real world situation that writing bad and unscalable code is way better than writing good code?
002df61425fc95784bdb,What did soldiers think of WWII?
002e1db45448c8618019,Why was the Communications Act of 1934 passed?
002e4295f0103090386a,How good is Delhi College of photography?
002e83a32d88246e6c02,What is the difference between schizophrenia and schizotypal personality disorder?
002ea8df10428103c801,What are simple and stylish names of mobile shop?
002ed7744403bf233911,Why did the Doctor Who scene where planes freeze in time in mid air become a meme with many people producing fake videos and falsely saying they saw it happen in real life?
002ede83cdef03984201,How do you sort yourself out in a manner that you'll be able to both give and accept love?
002eeb0faa211d064c8f,"What computer skills are needed in management, especially in innovation and entrepreneurship?"
002eee4c280636c0caab,There are hydrophobic materials but are there airphobic materials?
002f005af4ecd24fc08e,How are visual novels used?
002f22f28793240592d0,What is minimum number of nonzero vectors to produce zero resultant?
002f39cad47fe53706c2,What is the best and responsive contact number of Samsung support department?
002f78a545fe936d912a,How do I get admission in Harvard University after my degree?
002f7e0035c5c352e4c6,Why does BSNL network is so weak in Banglore?
002f80c4b263782b654f,"Is there any way to start a business that reaches the heights of Snapchat, etc without hiring 1000s of employees and doing by yourself?"
002fc04f8169177c89f0,Have you tried the turkey tail mushrooms that Paul Stamets suggests for tumors? All the best.
002fd50d02a08c452830,"I like to wear panties and masturbate to tranny porn and sometimes gay porn, what does that make me?"
002ff9a5fdcbdeff9a89,Has Pre-marital sex always been deemed a sin in Christianity?
0030112b464060e5b450,What are some harsh realities of life that seems hard to believe but true?
00302fe694a5b40e4c18,What does Habib Fanny think about black people calling each other the N-Word?
003040d49771fde4d4da,Is kindness an important feature to you when choosing your friends?
003069ba70645b15c3ba,Why don't India start a War with Pakistan ? They Kill our Soldiers.
0030959cd3a9a4b4eb05,If only some of the Muslims are bad then why don't the majority of Muslims stop demolition of temples in Pakistan or help Hindus restore it?
0030bc6e4f9b8826486b,What comics do I read after finishing almost 100 comics? From the top 10 lists of every main comic character to the New 52 titles and newer Marvel titles like The Vision.
0030f25dead17cff6848,"How is feminism any different from ""the Patraichy""?"
0031122d8bb9b9c1247f,"If conservatives worship God and liberals worship the state, what do libertarians worship?"
003135bd5d64f365302b,What are your favorite foods in Germany?
00314ec799bcdcb089ae,Have you ever built a tiny house?
003181771d7219dd0fb1,What do Indonesians think about Nigeria?
003185a0284f679e7c78,What are the major problems you face when you network to build your business?
3.18757E+17,Why do the Majority of Malays in Malaysia hate DAP?
003192bff7e25cb85774,Why do so many believe in Christianity when it has been proven that everything from the Bible has been stolen from ancient Sumerian religion?
0031fd699c66a733866c,How are Android devices running graphics intensive games that are usually played on consoles?
003201cabf91c2020466,Do guys love when girls scream or say their name while doing sex?
0032215100ac5ce849a2,What is the salary of NET/JRF qualified (in management) at symbiosis Pune? Do they enroll freshers as assistant professors?
003271077e63edb79338,How was New Zealand able to win every single war with its American neighbors?
0032a5f4add2cee075d4,How can gym instruments be used as fuel source?
0032d01e0c480ba68418,Why is amocking bird called a rude bird?
0032e304b8bb1163267e,Why do White Americans hate Black people?
0032e99a8b20fdf06fa3,"What cultural similarities es are there between Washington, Oregon, and California?"
00330064ffea310536db,Why does the second principle of thermodynamics prevent us from remembering the future?
003326eecbbe3bc8709d,How do I crack the Infosys placement drive?
0033b98dfdda77034c7e,What inspired you to start writing books?
0033c7263cce830e76bf,Why is Sharia Law so stupid and why do so many Muslims want it enforced in Canada & America?
0033ebdf18e3f274383b,What if the Soviets were there to veto the Korean War UN decision?
00340bcf2273cde0297c,Would you allow your parents to take dowry in marriage?
003422717ffe5e1cf403,"I have zero experience with girls but I'm interested in one but I never talked to her in the few times we met, how do I aproach her?"
00342b9fb81e3528943f,"Why are Westerners unfamiliar with Liqian, China?"
0034359afdf32dcafca0,Will there be a concept of marriage loan in the future?
00348c75c329fec4e796,What is the best method to drive traffic to an affiliate link without creating his own website?
0034a0ca4d20c1f07326,What is the known science of a planet keeping its distance from the other?
00350526f359763bb021,How is glass mass produced?
00355e5e99a8ff2b9ee6,How are women petite blouses differ from women plus?
0035d48e1c1cc145a928,Is it good to do a intership or do some coaching during a 2 months semester break?
00365fb12ed105f9a57e,What are the questions asked by the candidates that inspired the recruiters?
0036696fb9d739e9afbf,What proof is required to claim input tax credit?
0036737c9685b0ed244e,What is the best way to prepare for the modern physics exam?
0036ddb96634464a5be1,What are some historical facts about the Comanche Indians?
0036f0d3d7bbcc75f891,What effect did the first world war have on the industry of Russia?
0037508b02b395e6feed,What influenced Jonathan Quick to become a professional ice hockey player?
003762ddb6f8de1d3c07,"How do feminists say the word ""blueberry""?"
00378d084dc806bb6f47,"What does Camilla, Duchess of Cornwall, think of Meghan Markle, Duchess of Sussex?"
00379b86dfecfdebf7ad,How do you feel when you're the only (or one of the few) sober people at a party?
0037a73a9ecbd8920f91,Who are the Discworld dwarfs supposed to represent in our world?
0037b011bddd6f330919,Why did you decide to switch from (your field) to fashion?
0037b210e98c8f7de7bb,What does 'baby talk' mean?
0037c2330968fc838418,E^I (theta) is used for representation of wave that is a physical entity.What has iota anything to do in this context?
0038675bd081aef59644,Can robots create latte art?
003868264476127a057c,"If Trump receives the Nobel Peace Price for denuclearizing North Korea, would your opinion of him change?"
00386c794ccfa4f10a78,What is more important love or study at the age of 19 in India?
0038aca68de5754a7a43,What are some methods used in cyberbullying?
0038ae31ade686fa924b,How can telekinesis be achieved?
0038cba88a81692fcb6f,When is the next big dip in bitcoin predicted (2017)?
003921caa939dd793213,"How, when and why did you convert to Mormonism?"
003941784d645226cd39,Is it necessary to have a symmetrical distribution for PERT analysis for project scheduling? Why?
0039457910b8a802121b,Are the BJP bhakts satisfied that prices of petrol and diesel were slashed by 1 paisa? Do you think criticizing this would be unpatriotic?
00394725b89f58c655e8,Why do girls suck guys dick?
00399c2236f28c3b6c72,What is the ideal weight for conceiving a child? What is the diet to be followed during pregnancy?
0039a4c7ba7bd576d285,"Do all women want tough, strong men?"
0039a6b09434df7a0b9c,Does it annoy anyone that digital movies cost more than the Blu-rays in the store?
0039b27fb174218ee560,What is the best unified messaging app?
003a112c376b2c2e3529,Is True love all about struggles and ignorance? (In unrequited case) Can this be successful?
003a462692950cc4884b,How good is University of Cincinnati's aerospace program?
003a5ea4e00f85ed721c,What was the most horrible thing you witnessed in hurricane Katrina?
003aa6ffc0faba34c5f1,Do you get annoyed by someone that asks so many questions?
003ab9ffd51b9a2eb429,When will IBM GBS give an offer letter after selecting in an interview in Pune for 2017?
003b810f4f4751dc41e4,How much does it cost for tooth distillation?
003b99a690b0d8d0c251,"Why is the term ""Bollywood"" found to be derogatory by some?"
003bdfb61527d3ce8143,How many experienced American techies cant find jobs in tech and working in low paid jobs.?
003be1cb4d74ffc818a9,How can I improve my weak eyesight without using glasses naturally?
003c52a798052f7b8d9c,How can I stop gaming and not comeback to gaming as a teenager?
003c57d6e59dbd744afc,What is the answer for 6÷2 (1+2)?
003ca89c0e2f1b145b03,Where should I look for graduate marketing jobs in London?
003ca8e2cc6b51732095,What are the best undergraduate computer programs?
003cecd8c8afd2bd1ca0,I want to start my career in the oil and gas. Should I accept the internship offer at CB&I?
003d0076ee72fa4eb2f6,"How do religious people reconcile the fact that religion is geographic, when it should be universal? Does this bother religious people?"
003d1e2e0dc235205747,What is the procedure to meet PM Narendra Modi?
003d422fef278bb525a5,Why is Pakistan engaging in blatantly double standards regarding Kashmir and Baluchistan?
003d954e539715f3c160,Is Amity a good university to do distance/correspondence MBA?
003da341bc2d578818b2,What are some examples of chemical sedimentary rocks?
003e152173b129faa782,Which are the best journals of English Language and Literature in India?
003e4d502fbbfad41f41,What is diffrence between linear and obstract algebra?
003e6b0e179eb3f803ff,How do you say nine tailed fox in Japanese?
003e6d5b0608effd898e,How can I cancel my admission in IGNOU as I want to change my course?
003e91865a9db71474d8,What happens if an off-duty police officer realizes he is speeding?
003eaf902e38ebc6f52c,Which songs do you love to hear?
003ec867b01fbc195a6f,What are the biggest misconceptions about divorce?
003effb596d5c6f3846d,Do all conservatives think liberals are stupid and do all liberals think conservatives are stupid?
003f05f51831af1f558a,Which have more electron affinity oxygen and florine? Why
003f0bfa308f2ca24f44,What is the best electric cigarette machine?
003f32becaa2c48fa259,Does carbon monoxide stain things?
003fb49173cdece2e3cb,What are the most important CV points for a consult job?
00404515affca52bf137,What gives the U.S. the right to topple governments?
00408246ba05e5476b02,What are the profit margins like in the automotive insurance industry?
0040b0e1ccd2acd3f376,"Should I worry if my boyfriend sleeps before 10 each night? We are both 19 years old, I feel like it’s a little suspicious or maybe it’s just my trust issues."
0040be383e726f10c319,How did His and Hers Wedding Invitations template give ease in making invitations?
0040dea73e9dba4f3c7e,Why do people shut down fascists and socialists when some of them make some valid points?
0041130742b5fe8ed0fe,What is the best place to learn public speaking in Kolkata?
00411aa09b208abb04d6,What is the worst type of computer application to work on?
004146fb1bf9d7818837,How much does a biophysicist earn?
004147ce60e8cd4e5077,What if Kakashi got both of Obito's eyes?
004216aae8910ce1556a,How many attempts are allowed for any staff selection commission exams?
004278d572bec77f120e,Why is there so much unhealthy food and drinks in the US?
0042a0d656978181d982,Does death scare you?
0042c5ba2a6f53805640,Why do Greek assumes Turkish aircrafts are violating Greek borders although these borders are in international air space? And why are Greeks so aggressive although they occupied 18 Turkish Islands at Aegean Sea?
0042f074b81ab833982c,What​ happens if Galactus stops eating/can't eat?
0042f0e28ae9863b8776,What will relieve anxiety?
00431bef4d4cf3f0e870,Where can I find a 20 million dollar real estate development loan?
0043283533c90e9f00f4,Is there any language where the meaning of a word correlates to the phonemic pitch and tone?
00433a2b7a54aac1c5ac,Why do some people hate Amy Schumer?
0043abecbf2b47fc8d72,"Im having trouble making sense of both pressure and air pressure, can you be a good explainer and teacher to me?"
